title,price,link
"TOSSBERG Stuhl, Metall weiß/Gunnared beige",99.00 €,https://www.ikea.com/de/de/p/tossberg-stuhl-metall-weiss-gunnared-beige-80565274/
"GRÖNSTA Stuhl, drinnen/draußen weiß",59.00 €,https://www.ikea.com/de/de/p/groensta-stuhl-drinnen-draussen-weiss-70519763/
"ÖSTANÖ Stuhl, schwarz Remmarn/dunkelgrau",17.50 €,https://www.ikea.com/de/de/p/oestanoe-stuhl-schwarz-remmarn-dunkelgrau-20545359/
"ADDE Stuhl, weiß",15.00 €,https://www.ikea.com/de/de/p/adde-stuhl-weiss-10219178/
"INGOLF Stuhl, weiß",59.99 €,https://www.ikea.com/de/de/p/ingolf-stuhl-weiss-70103250/
"KARLPETTER Stuhl, Gunnared mittelgrau/Sefast schwarz",59.99 €,https://www.ikea.com/de/de/p/karlpetter-stuhl-gunnared-mittelgrau-sefast-schwarz-s39483752/
"HAUGA Stuhl, weiß",29.99 €,https://www.ikea.com/de/de/p/hauga-stuhl-weiss-10576718/
"KRYLBO Stuhl, Tonerud dunkelbeige",69.99 €,https://www.ikea.com/de/de/p/krylbo-stuhl-tonerud-dunkelbeige-60566745/
"TOBIAS Stuhl, transparent/verchromt",99.99 €,https://www.ikea.com/de/de/p/tobias-stuhl-transparent-verchromt-80349671/
"BERGMUND Stuhl, schwarz/Gunnared mittelgrau",89.99 €,https://www.ikea.com/de/de/p/bergmund-stuhl-schwarz-gunnared-mittelgrau-s69384307/
"GRÖNSTA Armlehnstuhl, drinnen/draußen, weiß",69.00 €,https://www.ikea.com/de/de/p/groensta-armlehnstuhl-drinnen-draussen-weiss-90557886/
"STEFAN Stuhl, weiß",39.99 €,https://www.ikea.com/de/de/p/stefan-stuhl-weiss-90339233/
"VIHALS Stuhl, weiß/Tibbleby beigegrau",34.99 €,https://www.ikea.com/de/de/p/vihals-stuhl-weiss-tibbleby-beigegrau-30592760/
"SKRUVSTA Drehstuhl, Vissle grau",129.00 €,https://www.ikea.com/de/de/p/skruvsta-drehstuhl-vissle-grau-30280004/
"VOXLÖV Stuhl, Bambus hell",99.99 €,https://www.ikea.com/de/de/p/voxloev-stuhl-bambus-hell-50450236/
"SKOGSTA Stuhl, Akazie",59.00 €,https://www.ikea.com/de/de/p/skogsta-stuhl-akazie-70544866/
"KÄTTIL Stuhl, weiß/Knisa hellgrau",50.00 €,https://www.ikea.com/de/de/p/kaettil-stuhl-weiss-knisa-hellgrau-60500325/
"ODGER Stuhl, anthrazit",79.99 €,https://www.ikea.com/de/de/p/odger-stuhl-anthrazit-50457313/
"EKEDALEN Stuhl, Eichenachbildung/Orrsta hellgrau",69.99 €,https://www.ikea.com/de/de/p/ekedalen-stuhl-eichenachbildung-orrsta-hellgrau-90534729/
"VIHALS Stuhl, weiß",19.99 €,https://www.ikea.com/de/de/p/vihals-stuhl-weiss-50569103/
"LISABO Stuhl, Esche",69.00 €,https://www.ikea.com/de/de/p/lisabo-stuhl-esche-00457235/
"IVAR Stuhl, Kiefer",25.49 €,https://www.ikea.com/de/de/p/ivar-stuhl-kiefer-90263902/
